2q, intensity
2.045667999999999864e+01,7.000000000000000000e+00
2.047710000000000008e+01,0.000000000000000000e+00
2.049752000000000152e+01,0.000000000000000000e+00
2.051794999999999902e+01,7.000000000000000000e+00
2.053837000000000046e+01,8.000000000000000000e+00
2.055878999999999834e+01,3.000000000000000000e+01
2.057920999999999978e+01,1.700000000000000000e+01
2.059964000000000084e+01,0.000000000000000000e+00
2.062005999999999872e+01,0.000000000000000000e+00
2.064048000000000016e+01,0.000000000000000000e+00
2.066091000000000122e+01,2.900000000000000000e+01
2.068132999999999910e+01,0.000000000000000000e+00
2.070175000000000054e+01,4.100000000000000000e+01
2.072218000000000160e+01,3.200000000000000000e+01
2.074259999999999948e+01,0.000000000000000000e+00
2.076302000000000092e+01,1.000000000000000000e+01
2.078343999999999880e+01,1.600000000000000000e+01
2.080386999999999986e+01,0.000000000000000000e+00
2.082429000000000130e+01,1.200000000000000000e+01
2.084470999999999918e+01,0.000000000000000000e+00
2.086514000000000024e+01,6.000000000000000000e+00
2.088556000000000168e+01,0.000000000000000000e+00
2.090597999999999956e+01,0.000000000000000000e+00
2.092641000000000062e+01,1.300000000000000000e+01
2.094682999999999851e+01,8.000000000000000000e+00
2.096724999999999994e+01,4.400000000000000000e+01
2.098767000000000138e+01,1.900000000000000000e+01
2.100809999999999889e+01,0.000000000000000000e+00
2.102852000000000032e+01,0.000000000000000000e+00
2.104894000000000176e+01,0.000000000000000000e+00
2.106936999999999927e+01,7.000000000000000000e+00
2.108979000000000070e+01,1.800000000000000000e+01
2.111020999999999859e+01,2.400000000000000000e+01
2.113063999999999965e+01,2.500000000000000000e+01
2.115106000000000108e+01,0.000000000000000000e+00
2.117147999999999897e+01,5.400000000000000000e+01
2.119190000000000040e+01,2.100000000000000000e+01
2.121233000000000146e+01,0.000000000000000000e+00
2.123274999999999935e+01,1.500000000000000000e+01
2.125317000000000078e+01,1.500000000000000000e+01
2.127359999999999829e+01,0.000000000000000000e+00
2.129401999999999973e+01,0.000000000000000000e+00
2.131444000000000116e+01,0.000000000000000000e+00
2.133486999999999867e+01,2.200000000000000000e+01
2.135529000000000011e+01,0.000000000000000000e+00
2.137571000000000154e+01,2.200000000000000000e+01
2.139612999999999943e+01,1.200000000000000000e+01
2.141656000000000049e+01,0.000000000000000000e+00
2.143697999999999837e+01,9.000000000000000000e+00
2.145739999999999981e+01,0.000000000000000000e+00
2.147783000000000087e+01,0.000000000000000000e+00
2.149824999999999875e+01,2.700000000000000000e+01
2.151867000000000019e+01,5.000000000000000000e+00
2.153910000000000124e+01,0.000000000000000000e+00
2.155951999999999913e+01,2.000000000000000000e+00
2.157994000000000057e+01,0.000000000000000000e+00
2.160035999999999845e+01,0.000000000000000000e+00
2.162078999999999951e+01,0.000000000000000000e+00
2.164121000000000095e+01,7.000000000000000000e+00
2.166162999999999883e+01,0.000000000000000000e+00
2.168205999999999989e+01,0.000000000000000000e+00
2.170248000000000133e+01,1.000000000000000000e+01
2.172289999999999921e+01,4.000000000000000000e+00
2.174333000000000027e+01,0.000000000000000000e+00
2.176375000000000171e+01,4.000000000000000000e+00
2.178416999999999959e+01,1.800000000000000000e+01
2.180459000000000103e+01,4.000000000000000000e+01
2.182501999999999853e+01,0.000000000000000000e+00
2.184543999999999997e+01,0.000000000000000000e+00
2.186586000000000141e+01,0.000000000000000000e+00
